dataset	tissue	age	platform	capture	rep1	rep2
SIDHBrAOC0301	Brain	Adult	ont	post-capture	3	1
SIDHBrAOP0301	Brain	Adult	ont	pre-capture	3	1
SIDHBrAPC0301	Brain	Adult	pacBioSII	post-capture	3	1
SIDHBrAPP0301	Brain	Adult	pacBioSII	pre-capture	3	1
SIDHBrEOC0101	Brain	Embryo	ont	post-capture	1	1
SIDHBrEOP0101	Brain	Embryo	ont	pre-capture	1	1
SIDHBrEPC0101	Brain	Embryo	pacBioSII	post-capture	1	1
SIDHBrEPP0101	Brain	Embryo	pacBioSII	pre-capture	1	1
SIDHCpAOC0101	CpoolA	Adult	ont	post-capture	1	1
SIDHCpAOP0101	CpoolA	Adult	ont	pre-capture	1	1
SIDHCpAPC0101	CpoolA	Adult	pacBioSII	post-capture	1	1
SIDHCpAPP0101	CpoolA	Adult	pacBioSII	pre-capture	1	1
SIDHHeAOC0201	Heart	Adult	ont	post-capture	2	1
SIDHHeAOP0201	Heart	Adult	ont	pre-capture	2	1
SIDHHeAPC0201	Heart	Adult	pacBioSII	post-capture	2	1
SIDHHeAPP0201	Heart	Adult	pacBioSII	pre-capture	2	1
SIDHHeEOC0101	Heart	Embryo	ont	post-capture	1	1
SIDHHeEOP0101	Heart	Embryo	ont	pre-capture	1	1
SIDHHeEPC0101	Heart	Embryo	pacBioSII	post-capture	1	1
SIDHHeEPP0101	Heart	Embryo	pacBioSII	pre-capture	1	1
SIDHLiAOC0101	Liver	Adult	ont	post-capture	1	1
SIDHLiAOP0101	Liver	Adult	ont	pre-capture	1	1
SIDHLiAPC0101	Liver	Adult	pacBioSII	post-capture	1	1
SIDHLiAPP0101	Liver	Adult	pacBioSII	pre-capture	1	1
SIDHLiEOC0101	Liver	Embryo	ont	post-capture	1	1
SIDHLiEOP0101	Liver	Embryo	ont	pre-capture	1	1
SIDHLiEPC0101	Liver	Embryo	pacBioSII	post-capture	1	1
SIDHLiEPP0101	Liver	Embryo	pacBioSII	pre-capture	1	1
SIDHPlPOC0101	Placenta	Placenta	ont	post-capture	1	1
SIDHPlPOP0101	Placenta	Placenta	ont	pre-capture	1	1
SIDHPlPPC0101	Placenta	Placenta	pacBioSII	post-capture	1	1
SIDHPlPPP0101	Placenta	Placenta	pacBioSII	pre-capture	1	1
SIDHTeAOC0101	Testis	Adult	ont	post-capture	1	1
SIDHTeAOP0101	Testis	Adult	ont	pre-capture	1	1
SIDHTeAPC0101	Testis	Adult	pacBioSII	post-capture	1	1
SIDHTeAPP0101	Testis	Adult	pacBioSII	pre-capture	1	1
SIDHTpAOC0101	TpoolA	Adult	ont	post-capture	1	1
SIDHTpAOP0101	TpoolA	Adult	ont	pre-capture	1	1
SIDHTpAPC0101	TpoolA	Adult	pacBioSII	post-capture	1	1
SIDHTpAPP0101	TpoolA	Adult	pacBioSII	pre-capture	1	1
SIDHWbAOC0101	WBlood	Adult	ont	post-capture	1	1
SIDHWbAOP0101	WBlood	Adult	ont	pre-capture	1	1
SIDHWbAPC0101	WBlood	Adult	pacBioSII	post-capture	1	1
SIDHWbAPP0101	WBlood	Adult	pacBioSII	pre-capture	1	1
SIDHWbEOC0101	iPSC	Embryo	ont	post-capture	1	1
SIDHWbEOP0101	iPSC	Embryo	ont	pre-capture	1	1
SIDHWbEPC0101	iPSC	Embryo	pacBioSII	post-capture	1	1
SIDHWbEPP0101	iPSC	Embryo	pacBioSII	pre-capture	1	1
